timestamp,event_ticker,market_ticker,yes_price,no_price
,KXNCAAFB12-25,KXNCAAFB12-25-WVU,,
,KXNCAAFB12-25,KXNCAAFB12-25-CIN,,
,KXNCAAFB12-25,KXNCAAFB12-25-UCF,,
,KXNCAAFB12-25,KXNCAAFB12-25-HOU,,
,KXNCAAFB12-25,KXNCAAFB12-25-ARIZ,,
,KXNCAAFB10-25,KXNCAAFB10-25-OSU,,
,KXNCAAFB10-25,KXNCAAFB10-25-ORE,,
,KXNCAAFB10-25,KXNCAAFB10-25-PSU,,
,KXNCAAFB10-25,KXNCAAFB10-25-MICH,,
,KXNCAAFB10-25,KXNCAAFB10-25-IND,,
,KXNCAAFB10-25,KXNCAAFB10-25-IOWA,,
,KXNCAAFB10-25,KXNCAAFB10-25-NEB,,
,KXNCAAFB10-25,KXNCAAFB10-25-USC,,
,KXNCAAFB10-25,KXNCAAFB10-25-ILL,,
,KXNCAAFB10-25,KXNCAAFB10-25-WASH,,
,KXNCAAFB10-25,KXNCAAFB10-25-MINN,,
,KXNCAAFB10-25,KXNCAAFB10-25-WIS,,
,KXNCAAFB10-25,KXNCAAFB10-25-MSU,,
,KXNCAAFB10-25,KXNCAAFB10-25-UCLA,,
,KXNCAAFB10-25,KXNCAAFB10-25-MD,,
,KXNCAAFB10-25,KXNCAAFB10-25-NW,,
,KXNCAAFB10-25,KXNCAAFB10-25-PUR,,
,KXNCAAFB10-25,KXNCAAFB10-25-RUTG,,
,KXNCAAFACC-25,KXNCAAFACC-25-CLEM,,
,KXNCAAFACC-25,KXNCAAFACC-25-MIA,,
,KXNCAAFACC-25,KXNCAAFACC-25-LOU,,
,KXNCAAFACC-25,KXNCAAFACC-25-SMU,,
,KXNCAAFACC-25,KXNCAAFACC-25-GT,,
,KXNCAAFACC-25,KXNCAAFACC-25-FSU,,
,KXNCAAFACC-25,KXNCAAFACC-25-UNC,,
,KXNCAAFACC-25,KXNCAAFACC-25-DUKE,,
,KXNCAAFACC-25,KXNCAAFACC-25-VT,,
,KXNCAAFACC-25,KXNCAAFACC-25-NCST,,
,KXNCAAFACC-25,KXNCAAFACC-25-SYR,,
,KXNCAAFACC-25,KXNCAAFACC-25-CAL,,
,KXNCAAFACC-25,KXNCAAFACC-25-PITT,,
,KXNCAAFACC-25,KXNCAAFACC-25-BC,,
,KXNCAAFACC-25,KXNCAAFACC-25-UVA,,
,KXNCAAFACC-25,KXNCAAFACC-25-WAKE,,
,KXNCAAFACC-25,KXNCAAFACC-25-STAN,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-GG,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-T1,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-BG,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-HLE,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-TE,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-DKIA,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-JDG,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-G2E,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-LNG,,
,KXLEAGUEWORLDS-25,KXLEAGUEWORLDS-25-WG,,
,KXMLB-25,KXMLB-25-ARI,,
,KXMLB-25,KXMLB-25-ATL,,
,KXMLB-25,KXMLB-25-BAL,,
,KXMLB-25,KXMLB-25-BOS,,
,KXMLB-25,KXMLB-25-CHC,,
,KXMLB-25,KXMLB-25-CWS,,
,KXMLB-25,KXMLB-25-CIN,,
,KXMLB-25,KXMLB-25-CLE,,
,KXMLB-25,KXMLB-25-COL,,
,KXMLB-25,KXMLB-25-DET,,
,KXMLB-25,KXMLB-25-FLA,,
,KXMLB-25,KXMLB-25-HOU,,
,KXMLB-25,KXMLB-25-KAN,,
,KXMLB-25,KXMLB-25-LAA,,
,KXMLB-25,KXMLB-25-LAD,,
,KXMLB-25,KXMLB-25-MIL,,
,KXMLB-25,KXMLB-25-MIN,,
,KXMLB-25,KXMLB-25-NYM,,
,KXMLB-25,KXMLB-25-NYY,,
,KXMLB-25,KXMLB-25-A,,
,KXMLB-25,KXMLB-25-PHI,,
,KXMLB-25,KXMLB-25-PIT,,
,KXMLB-25,KXMLB-25-SD,,
,KXMLB-25,KXMLB-25-SF,,
,KXMLB-25,KXMLB-25-SEA,,
,KXMLB-25,KXMLB-25-STL,,
,KXMLB-25,KXMLB-25-TB,,
,KXMLB-25,KXMLB-25-TEX,,
,KXMLB-25,KXMLB-25-TOR,,
,KXMLB-25,KXMLB-25-WAS,,
,KXMLBNL-25,KXMLBNL-25-ATL,,
,KXMLBNL-25,KXMLBNL-25-MIA,,
,KXMLBNL-25,KXMLBNL-25-NYM,,
,KXMLBNL-25,KXMLBNL-25-PHI,,
,KXMLBNL-25,KXMLBNL-25-WAS,,
,KXMLBNL-25,KXMLBNL-25-CHC,,
,KXMLBNL-25,KXMLBNL-25-CIN,,
,KXMLBNL-25,KXMLBNL-25-MIL,,
,KXMLBNL-25,KXMLBNL-25-PIT,,
,KXMLBNL-25,KXMLBNL-25-STL,,
,KXMLBNL-25,KXMLBNL-25-ARI,,
,KXMLBNL-25,KXMLBNL-25-COL,,
,KXMLBNL-25,KXMLBNL-25-LAD,,
,KXMLBNL-25,KXMLBNL-25-SD,,
,KXMLBNL-25,KXMLBNL-25-SF,,
,KXMLBAL-25,KXMLBAL-25-BAL,,
,KXMLBAL-25,KXMLBAL-25-BOS,,
,KXMLBAL-25,KXMLBAL-25-NYY,,
,KXMLBAL-25,KXMLBAL-25-TB,,
,KXMLBAL-25,KXMLBAL-25-TOR,,
,KXMLBAL-25,KXMLBAL-25-CWS,,
,KXMLBAL-25,KXMLBAL-25-CLE,,
,KXMLBAL-25,KXMLBAL-25-DET,,
,KXMLBAL-25,KXMLBAL-25-KAN,,
,KXMLBAL-25,KXMLBAL-25-MIN,,
,KXMLBAL-25,KXMLBAL-25-A,,
,KXMLBAL-25,KXMLBAL-25-HOU,,
,KXMLBAL-25,KXMLBAL-25-LAA,,
,KXMLBAL-25,KXMLBAL-25-SEA,,
,KXMLBAL-25,KXMLBAL-25-TEX,,
,KXWNBA-25,KXWNBA-25-ATL,,
,KXWNBA-25,KXWNBA-25-CHI,,
,KXWNBA-25,KXWNBA-25-CON,,
,KXWNBA-25,KXWNBA-25-DAL,,
,KXWNBA-25,KXWNBA-25-GS,,
,KXWNBA-25,KXWNBA-25-IND,,
,KXWNBA-25,KXWNBA-25-LV,,
,KXWNBA-25,KXWNBA-25-LA,,
,KXWNBA-25,KXWNBA-25-MIN,,
,KXWNBA-25,KXWNBA-25-NY,,
,KXWNBA-25,KXWNBA-25-PHX,,
,KXWNBA-25,KXWNBA-25-SEA,,
,KXWNBA-25,KXWNBA-25-WAS,,
,KXPGARYDER-RC25,KXPGARYDER-RC25-USA,,
,KXPGARYDER-RC25,KXPGARYDER-RC25-EU,,
,KXPGARYDER-RC25,KXPGARYDER-RC25-TIE,,
,KXMLBNLWEST-25,KXMLBNLWEST-25-LAD,,
,KXMLBNLWEST-25,KXMLBNLWEST-25-SD,,
,KXMLBNLWEST-25,KXMLBNLWEST-25-AZ,,
,KXMLBNLWEST-25,KXMLBNLWEST-25-SF,,
,KXMLBNLWEST-25,KXMLBNLWEST-25-COL,,
,KXMLBNLEAST-25,KXMLBNLEAST-25-ATL,,
,KXMLBNLEAST-25,KXMLBNLEAST-25-PHI,,
,KXMLBNLEAST-25,KXMLBNLEAST-25-NYM,,
,KXMLBNLEAST-25,KXMLBNLEAST-25-WSH,,
,KXMLBNLEAST-25,KXMLBNLEAST-25-MIA,,
,KXMLBNLCENT-25,KXMLBNLCENT-25-CHC,,
,KXMLBNLCENT-25,KXMLBNLCENT-25-MIL,,
,KXMLBNLCENT-25,KXMLBNLCENT-25-CIN,,
,KXMLBNLCENT-25,KXMLBNLCENT-25-STL,,
,KXMLBNLCENT-25,KXMLBNLCENT-25-PIT,,
,KXMLBALWEST-25,KXMLBALWEST-25-HOU,,
,KXMLBALWEST-25,KXMLBALWEST-25-TEX,,
,KXMLBALWEST-25,KXMLBALWEST-25-SEA,,
,KXMLBALWEST-25,KXMLBALWEST-25-ATH,,
,KXMLBALWEST-25,KXMLBALWEST-25-LAA,,
,KXMLBALEAST-25,KXMLBALEAST-25-NYY,,
,KXMLBALEAST-25,KXMLBALEAST-25-BOS,,
,KXMLBALEAST-25,KXMLBALEAST-25-BAL,,
,KXMLBALEAST-25,KXMLBALEAST-25-TB,,
,KXMLBALEAST-25,KXMLBALEAST-25-TOR,,
,KXMLBALCENT-25,KXMLBALCENT-25-MIN,,
,KXMLBALCENT-25,KXMLBALCENT-25-DET,,
,KXMLBALCENT-25,KXMLBALCENT-25-CLE,,
,KXMLBALCENT-25,KXMLBALCENT-25-KC,,
,KXMLBALCENT-25,KXMLBALCENT-25-CWS,,
,KXUSOMENSINGLES-25,KXUSOMENSINGLES-25-JS,,
